Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
737.2218867360419,20.0,RL,80.0,9600.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,,6.0,8.0,1976.0,1976.0,Gable,CompShg,MetalSd,MetalSd,None,201.5123518905922,TA,TA,CBlock,,TA,,ALQ,978.0,Unf,0.0,284.0,902.3804041094417,GasA,Ex,Y,SBrkr,1262.0,278.198350469081,-6.145972750288799,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,TA,5.091058465172817,,1.0,TA,Attchd,1975.1584607752507,RFn,2.0,460.0,TA,TA,Y,298.0,0.0,-56.691195623285196,0.0,0.0,-3.3338099600715747,0.0,5.0,2007.0,WD,Normal,181500.0
3.0,60.0,RL,73.92349105225132,11250.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6.991547110370468,5.0,2001.0,1991.8545986055926,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,,TA,,GLQ,486.0,Unf,66.01650731323603,434.0,920.0,GasA,Ex,Y,SBrkr,920.0,866.0,0.0,1786.0,1.0,0.05809332584108564,2.0,0.997184227585256,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,2000.2705338717549,RFn,2.0,474.6700824617243,TA,TA,Y,154.20551834714158,42.0,0.0,0.0,28.425654416323024,-12.624012566828881,0.0,9.0,2008.0,WD,,223500.0
713.9976301392427,84.18307584035635,RL,86.26697465626772,9550.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,,5.1588969312812285,5.66578873544929,1932.5841628754351,1970.0,Gable,CompShg,Wd Sdng,Wd Shng,None,352.7782709623596,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,756.0,GasA,Gd,Y,SBrkr,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,2.963228725777522,1.0,Gd,7.0,Typ,1.0,Gd,Detchd,1998.0,Unf,1.3880890510270616,642.0,TA,TA,Y,0.0,47.22597724715105,272.0,0.0,0.0,0.0,0.0,2.0,2006.0,WD,Abnorml,140000.0
5.0,71.16970371363509,RL,84.0,14260.0,Pave,Reg,,AllPub,,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,2000.0,2000.0,Gable,CompShg,VinylSd,,,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,184.00151720262608,1145.0,GasA,Ex,Y,SBrkr,1145.0,1055.6745014154817,0.0,2198.0,1.0,0.19623800463661856,2.0,1.0,4.0,1.0,Gd,7.885529930673654,Typ,1.0,TA,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,192.0,84.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.7956534318369,WD,Normal,190715.3547468415
7.0,20.0,RL,75.0,10084.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,,8.0,5.0,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Stone,318.4085853899642,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,-79.33073306778729,317.0,1686.0,GasA,Ex,Y,SBrkr,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,-0.10923931356403349,2.7354783104594773,1.0,Gd,7.0,,1.025796955536801,Gd,Attchd,2004.0,RFn,2.6456702574327435,636.0,TA,TA,Y,255.0,52.38899333022104,-33.74763972119773,0.0,0.0,7.143075038149615,0.0,8.0,2007.0,WD,Normal,253015.12238264352
9.0,50.0,RM,51.0,6120.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7.0,5.0,1931.0,1950.0,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,,59.893122460244115,Unf,0.0,952.0,952.0,GasA,Gd,Y,FuseF,1022.0,752.0,0.0,1774.0,0.0,-0.006835735878508498,2.0,0.0,2.0,1.0352401807904243,TA,8.0,Min1,2.0,TA,Detchd,1931.0,Unf,2.0,468.0,TA,TA,Y,-39.4534059566861,0.0,205.0,0.0,0.0,0.0,0.0,4.559977274135638,2007.0529351995383,WD,Abnorml,88392.64435700836
10.0,46.90237018206311,RL,50.0,7420.0,Pave,Reg,,AllPub,,Gtl,BrkSide,Artery,Artery,1Fam,1.5Unf,4.6677216972719195,6.0,1935.10529715721,1950.0,Gable,CompShg,MetalSd,,None,0.0,TA,TA,BrkTil,,TA,,GLQ,851.0,Unf,0.0,704.2509602708886,991.0,GasA,Ex,Y,SBrkr,1021.8290978272023,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,1.0190029740333557,TA,5.0,Typ,2.0,TA,Attchd,1939.0,RFn,0.9659556865576069,205.0,Gd,TA,Y,-23.34629244275051,4.0,0.0,0.0,0.0,-54.22419744972558,0.0,6.149608466347779,2008.0,WD,,32151.06835884537
1062.0049583209584,50.413240750237115,RL,104.82521277598606,11924.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,,Norm,Norm,1Fam,2Story,6.782016546128021,4.171879198763182,2005.0,2013.4417145136892,Gable,CompShg,WdShing,,,419.53468612498693,Ex,TA,PConc,Ex,TA,,GLQ,998.0,Unf,-62.974237935058106,177.0,1175.0,GasA,Ex,Y,SBrkr,1459.2815239605882,1142.0,-2.497420253436316,2674.44628942767,1.0,0.0,3.0,0.0,4.0,1.0450572781264782,Ex,11.0,,2.0,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,147.0,21.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,New,Partial,345000.0
14.0,20.0,RL,91.0,10652.0,Pave,IR1,,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,,8.097922461153658,5.898165912339011,2006.0,2022.251170366075,Gable,CompShg,VinylSd,VinylSd,,306.0,Gd,TA,PConc,Gd,TA,,,0.0,Unf,71.91281405393701,1494.0,1494.0,GasA,Ex,Y,SBrkr,1743.1524587692284,55.6391240005413,0.0,1754.9396426600824,0.0,0.20267770744177516,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,,Attchd,2006.0,RFn,2.6316629490654346,840.0,TA,TA,Y,160.0,-1.5388954964021835,0.0,0.0,0.0,0.0,0.0,7.3425230140342395,2007.0,New,Partial,279500.0
21.0,60.0,RL,101.0,14215.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,,Norm,Norm,1Fam,2Story,8.0,5.694812165810042,2005.0,2006.0,Gable,CompShg,VinylSd,,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,,0.0,Unf,123.35118005147197,1158.0,1751.8143574279536,GasA,Ex,Y,SBrkr,1746.9603397027422,1231.3936638450905,0.0,2376.0,0.0,0.0,3.0,0.7757917547951773,4.0,1.0304748304188251,Gd,9.0,,1.0,Gd,BuiltIn,1995.6355963347523,RFn,3.0,853.0,TA,TA,Y,240.0,154.0,0.0,0.0,0.0,25.84143943849499,0.0,9.168534689094685,2006.0,New,Partial,325300.0
22.0,45.0,RM,84.84649444388923,12067.655360621857,Pave,Reg,Bnk,AllPub,,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,4.918231077680739,7.0,1930.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,,TA,,Unf,0.0,Unf,0.0,637.0,944.307182393231,GasA,Ex,Y,FuseF,1108.0,0.0,0.0,1108.0,0.34569415369766326,0.07417121962219277,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Gd,Detchd,1960.8157013343719,Unf,1.6356695151478486,630.7054048687527,TA,TA,Y,0.0,0.0,95.8457293994873,0.0,-2.514015471101416,0.0,0.0,4.64672551541064,2007.615363519593,WD,Normal,139938.30352040683
23.0,20.0,RL,80.75228457890746,9742.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,,Norm,Norm,1Fam,1Story,8.0,5.584913177032594,2002.0,2002.0,Hip,CompShg,,,,395.3428986590281,Gd,TA,PConc,Gd,TA,No,Unf,-301.94395728289726,Unf,-8.199221506614442,1777.0,1734.7747263413194,GasA,Ex,Y,SBrkr,1795.0,0.0,0.0,1795.0,0.0,0.03474395623342134,2.0,0.0,3.0,1.0187317244708538,Gd,7.0,Typ,1.0,,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,171.0,78.06577159458145,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,WD,Normal,230000.0
24.0,53.567257926789054,RM,44.0,4224.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,1Fam,,5.0,5.240639527955232,1976.0,1976.0,Gable,CompShg,,CmentBd,None,0.0,TA,TA,PConc,,TA,No,GLQ,840.0,Unf,65.35481356318157,200.0,1040.0,GasA,TA,Y,SBrkr,1034.0594750354467,0.0,0.0,1339.4193084175085,1.0,0.0,1.0,0.418853065182807,2.4024237726463156,1.031721979379654,TA,6.0,Typ,1.1972426873689885,TA,Attchd,1976.0,Unf,1.8065198982137125,572.0,TA,TA,Y,100.0,77.61277373170246,0.0,27.79200319476947,0.0,0.0,0.0,6.0,2007.0,WD,Normal,129900.0
