Mean_Integrated,SD,EK,Skewness,Mean_DMSNR_Curve,SD_DMSNR_Curve,EK_DMSNR_Curve,Skewness_DMSNR_Curve,Class
,45.75907566,0.231697754,,,14.34301971,9.500368299,117.0577236,0.0
,51.76531137,0.152884958,-0.395775757,,,7.962004044,,0.0
,58.01595061,0.396478925,,,19.4694241,,94.65563698,0.0
,51.35949087,,-0.139897478,,11.53318438,12.52337909,219.5388777,0.0
,43.13201653,0.543588573,0.940103291,,10.19305088,17.56910425,369.8416015,
143.875,49.73932046,,-0.173520147,,16.54898965,,67.25291793,
,29.97505066,5.159143189,31.13085748,29.71153846,57.22296561,2.196534777,4.41086239,
122.4765625,43.59561418,0.336240078,,1.085284281,,,239.4584177,0.0
,41.31616306,0.479362452,,1.756688963,,10.6259377,,0.0
,41.08274493,,0.47208847,,,10.50906048,146.435339,0.0
128.765625,,,-0.432126478,,17.77951797,,118.0006578,0.0
,50.00899272,0.512633112,,3.846989967,,6.89789687,49.77483619,
,54.13083143,-0.007230668,-0.551288359,1.769230769,,11.64862912,,
,,-0.007378934,,2.651337793,18.96012379,8.554398205,81.95998741,
113.2265625,,0.124636232,,2.699832776,17.27142264,,,0.0
,,-0.017550072,-0.124106157,,,11.53809209,191.5354055,0.0
131.1796875,46.95866427,0.117783503,,,,,87.14086884,0.0
87.7421875,,0.769394292,,5.512541806,,5.811543823,,0.0
,,0.021536997,-0.469194807,,14.90709689,9.897932299,117.1177467,0.0
121.6875,45.10417629,,,1.595317726,11.10914737,13.15098611,245.1662455,0.0
132.1484375,,-0.089447443,,,85.0518029,0.96479958,,0.0
,,,3.389052512,142.9841137,56.76470165,,-0.045531641,1.0
,,-0.002916084,-0.000888521,2.20819398,,9.474151122,127.1719674,
,53.12908934,-0.222934778,,,32.983577,,22.66344592,0.0
106.3671875,,0.59113625,0.64599645,,13.88762942,12.68935727,,
58.5625,49.37084634,,5.826625538,,62.68394987,,,1.0
103.9921875,,0.045787826,0.665457146,1.362876254,12.12526977,,206.3166744,0.0
,49.64765501,-0.141710744,,,15.58032769,,169.1109894,0.0
128.796875,41.4405371,,0.399443202,,,,88.36697394,0.0
96.546875,39.51697803,1.128441314,,,,0.238320736,,1.0
126.1484375,51.74835291,,-0.477203193,,,,69.11075646,0.0
70.2578125,,1.75397988,5.286093897,,,3.429935889,,1.0
48.8203125,,,,39.93896321,71.3074186,1.734677186,1.736682233,
125.8046875,53.8294556,,-0.604316047,2.930602007,16.25670019,,100.3679627,0.0
,50.21285199,0.05999588,,8.845317726,,,16.29173167,0.0
129.6171875,43.90510383,0.066045936,-0.002689519,5.132943144,28.53525458,6.116694586,,
101.703125,,0.453149357,1.401315104,1.897993311,15.15410127,10.47358451,129.8577561,0.0
107.3359375,,,0.043647991,10.97909699,40.17429083,3.610894509,,
98.8828125,32.15723604,,,3.135451505,,8.24058017,,0.0
,,0.182604812,0.604098667,1.201505017,14.65593232,13.19741138,,
,52.7206672,,0.013982403,2.987458194,18.92934433,,,0.0
,56.46969197,0.171459088,-0.272106245,1.888795987,,,,0.0
,,-0.030834766,0.283897676,3.079431438,,,81.296462,0.0
116.609375,,,0.2614395,,15.56374234,10.71729783,,0.0
100.40625,46.13049383,0.332176413,,,13.81089665,,,0.0
98.6875,,0.552936762,,2.517558528,14.53431619,,,0.0
123.2734375,52.28851972,0.250988771,-0.141899495,,,,76.32354359,
115.546875,47.3045088,0.14080605,,2.12541806,15.38310075,,109.9498952,0.0
113.1171875,47.34722489,,0.134152129,,16.17080236,10.37532035,,
123.1953125,53.30778241,0.135242128,-0.409028356,,,8.072724098,,
77.0234375,,,,7.808528428,,5.181513792,26.51027772,1.0
,46.58453692,0.35900296,0.077005281,,,9.571366585,121.543941,
,47.57773245,0.445925347,0.280739631,,34.76232159,5.149891546,,0.0
95.3515625,,0.569365867,1.260704131,,,8.747194888,90.35900597,
133.4609375,59.67946966,0.059058951,,,57.63496828,1.286479027,,
133.4453125,,,-0.404020082,2.609531773,,8.558973507,82.20514812,
,47.70454968,-0.113748467,,2.065217391,16.80407741,9.894397637,,
